Index		Events Name	Discription	Unit	
	68	UC_BUS_SNOOP_HIT_EVENT	All bus Snoops that Hit in L2	2,11	
	69	L2_RQSTS.DEMAND_DATA_RD_HIT	All L1d Cacheable Requests Hit in L2 pipe.	2,11	
	70	L2_CODE_LOAD_HIT 	All L1i Cacheable Requests Hit in L2 pipe.	2,11	
	71	L2_BUS_SNP_HIT l2CtrExtSnpHitReg_P	All bus snoop that hit in L2 (not HitM and the snooped cache line would still be in L2).	2,11	
	72	L2_CORRECTED_ECC	All corrected L2 Data ECC error(not trigger in CHX001/CNRM DV)	2,11	
	73	L2_RQSTS.PF_MISS	All preftch miss	2,11	
	74	LLC Reference	LLC Reference	2,11	
	75	L2_DATA_LOAD_HIT_C0	Total C0 Data Load Request Hit in L2	2,11	
	76	L2_DATA_LOAD_HIT_C1	Total C1 Data Load Request Hit in L2	2,11	
	77	L2_DATA_LOAD_HIT_C2	Total C2 Data Load Request Hit in L2	2,11	
	78	L2_DATA_LOAD_HIT_C3	Total C3 Data Load Request Hit in L2	2,11	
	79	L2_TOTAL_L1I_REQ	reques from L1i	2,11	
	80	L2_CODE_LOAD_HIT_C0	Total C0 Code Load Request Miss in L2	2,11	
	81	L2_CODE_LOAD_HIT_C1	Total C1 Code Load Request Miss in L2	2,11	
	82	L2_CODE_LOAD_HIT_C2	Total C2 Code Load Request Miss in L2	2,11	
	83	L2_CODE_LOAD_HIT_C3	Total C3 Code Load Request Miss in L2	2,11	
	84	L2_RQSTS.ALL_CODE_RD	same with 11	2,11	
HIF	0	Bus_clk	Count the Bus clk	13	
	1	HIF_C2M_NUM_Local	Count the number of local memory access cycles	13	
	2	HIF_C2M_NUM_Remote	Count the number of remote memory access cycles	13	
	3	HIF_C2P_NUM_Local	Count the number of local peripheral access cycles	13	
	4	HIF_C2P_NUM_Remote	Count the number of remote peripheral access cycles	13	
	5	HIF_C2M_READ_NOT_EMPTY	counts cycles when track has at least 1 outstanding read request to C2MREQCDC	13	
	6	HIF_C2M_WRITE_NOT_EMPTY	counts cycles when track has at least 1 outstanding write request to C2MREQCDC	13	
	7	HIF_C2M_WRITE_CACEL_REQ	Counts number of DRAM cancel requests to CMREQCDC. ANY WP mem write	13	
	8	HIF_P2C_REQ_NUM	Counts the number of p2c hign priority 	13	
	9	HIF_C2M_READ_OCCUPANCY	normal read request occupancy.	13	
	10	HIF_C2M_WRITE_OCCUPANCY	normal write request occupancy.	13	
	11	HIF_C2M_WRITE_FULL_CL	Counts number of full cache line writes to DRAM. 	13	
	12	HIF_C2M_WRITE_PARTIAL_CL	Counts number of partial cache line writes to DRAM. 	13	
	13	HIF_C2M_WRITE_EVICTION_ANY	counts cycles evict request to write C2MREQCDC	13	
	14	HIF_C2M_WRITE_EVICTION_CLEAN	counts cycles evict request without data update snoop table	13	
	0	VPI_CYCLES_FULL_REQ_TX	counts cycles all entries in REQ_TX channel are full	12	
	1	VPI_CYCLES_FULL_DATA_TX	counts cycles all entries in DATA_TX channel are full	12	
	2	VPI_CYCLES_FULL_SNPREQ_TX	counts cycles all entries in SNPREQ_TX channel are full	12	
	3	VPI_CYCLES_FULL_SNPRSP_TX	counts cycles all entries in SNPRSP_TX channel are full	12	
	4	VPI_CYCLES_FULL_RSP_TX	counts cycles all entries in RSP_TX channel are full	12	
	5	VPI_CYCLES_FULL_REQ_RX	counts cycles all entries in REQ_RX channel are full	12	
	6	VPI_CYCLES_FULL_DATA_RX	counts cycles all entries in DATA_RX channel are full	12	
	7	VPI_CYCLES_FULL_SNPREQ_RX	counts cycles all entries in SNPREQ_RX channel are full	12	
	8	VPI_CYCLES_FULL_SNPRSP_RX	counts cycles all entries in SNPRSP_RX channel are full	12	
	9	VPI_CYCLES_FULL_RSP_RX	counts cycles all entries in RSP_RX channel are full	12	
	10	VPI_CYCLES_NOT_EMPT_REQ_TX	counts cycles the REQ_TX channel is busy	12	
	11	VPI_CYCLES_NOT_EMPT_DATA_TX	counts cycles the DATA_TX channel is busy	12	
	12	VPI_CYCLES_NOT_EMPT_SNPREQ_TX	counts cycles the SNPREQ_TX channel is busy	12	
	13	VPI_CYCLES_NOT_EMPT_SNPRSP_TX	counts cycles the SNPRSP_TX channel is busy	12	
	14	VPI_CYCLES_NOT_EMPT_RSP_TX	counts cycles the RSP_TX channel is busy	12	
	15	VPI_CYCLES_NOT_EMPT_REQ_RX	counts cycles the REQ_RX channel is busy	12	
	16	VPI_CYCLES_NOT_EMPT_DATA_RX	counts cycles the DATA_RX channel is busy	12	
	17	VPI_CYCLES_NOT_EMPT_SNPREQ_RX	counts cycles the SNPREQ_RX channel is busy	12	
	18	VPI_CYCLES_NOT_EMPT_SNPRSP_RX	counts cycles the SNPRSP_RX channel is busy	12	
	19	VPI_CYCLES_NOT_EMPT_RSP_RX	counts cycles the RSP_RX channel is busy	12	
	20	VPI_STALLED_REQ_TX	counts cycles when REQ_TX channel is stalled due to lack of channel credits	12	
	21	VPI_STALLED_DATA_TX	counts cycles when DATA_TX channel is stalled due to lack of channel credits	12	
	22	VPI_STALLED_SNPREQ_TX	counts cycles when SNPREQ_TX channel is stalled due to lack of channel credits	12	
	23	VPI_STALLED_SNPRSP_TX	counts cycles when SNPRSP_TX channel is stalled due to lack of channel credits	12	
	24	VPI_STALLED_RSP_TX	counts cycles when RSP_TX channel is stalled due to lack of channel credits	12	
	25	VPI_REQUESTS_REQ_TX	counts number of requests of REQ_TX channel	12	
	26	VPI_REQUESTS_DATA_TX	counts number of requests of DATA_TX channel	12	
	27	VPI_REQUESTS_SNPREQ_TX	counts number of requests of SNPREQ_TX channel	12	
	28	VPI_REQUESTS_SNPRSP_TX	counts number of requests of SNPRSP_TX channel	12	
	29	VPI_REQUESTS_RSP_TX	counts number of requests of RSP_TX channel	12	
	30	VPI_REQUESTS_REQ_RX	counts number of requests of REQ_RX channel	12	
	31	VPI_REQUESTS_DATA_RX	counts number of requests of DATA_RX channel	12	
	32	VPI_REQUESTS_SNPREQ_RX	counts number of requests of SNPREQ_RX channel	12	
	33	VPI_REQUESTS_SNPRSP_RX	counts number of requests of SNPRSP_RX channel	12	
	34	VPI_REQUESTS_RSP_RX	counts number of requests of RSP_RX channel	12	
